sprint,track,goal,primary_files,depends_on,parallelizable,acceptance
0,runtime-store,"Introduce unified RuntimeState store and selectors","src/runtime/store/*;src/main.ts;src/core/orchestrator.ts",none,yes,"RuntimeState domains compile; read-only selectors consumed by UI/orchestrator"
0,main-decomposition,"Create composition root and runtime bootstrap split","src/runtime/bootstrap.ts;src/runtime/composition-root.ts;src/main.ts",none,yes,"main.ts reduced to startup wiring + shutdown"
1,tool-runtime,"Add ToolRuntimeContext and phased executor","src/runtime/tools/*;src/core/orchestrator.ts;src/tools/registry.ts",0,yes,"Tool executions emit standardized phase events with cancellation"
1,tool-migration-a,"Migrate read/write/edit/exec to phased executor","src/tools/read/*;src/tools/write/*;src/tools/edit/*;src/tools/exec/*",1,yes,"No direct ad hoc tool execution paths remain for migrated tools"
2,permissions-v2-core,"Layered permission evaluator with decision reasons","src/runtime/permissions/*;src/permissions/manager.ts;src/config/schema.ts",1,yes,"All permission decisions have source + reason code"
2,permissions-v2-exec,"Command normalization and compound segmentation","src/runtime/permissions/command-parser.ts;src/tools/exec/index.ts",2,yes,"Approvals tied to normalized command prefixes"
2,permissions-modes,"Add background-restricted mode","src/config/schema.ts;src/permissions/manager.ts;src/core/orchestrator.ts",2,yes,"Background execution respects restricted policy set"
3,task-unification-core,"Canonical RuntimeTask model and reducers","src/runtime/tasks/*;src/tools/shared/process-manager.ts",0,yes,"All tasks represented in RuntimeTask state"
3,task-unification-integrations,"Integrate ACP/agents/scheduler with RuntimeTask","src/acp/manager.ts;src/tools/agent/index.ts;src/scheduler/scheduler.ts",3,yes,"Task panels/progress consume unified task state"
4,plugin-lifecycle,"Plugin lifecycle states + capability manifests","src/plugins/manager.ts;src/plugins/loader.ts;src/plugins/api.ts;src/runtime/plugins/*",0,yes,"Plugin state machine visible in runtime store"
4,plugin-hot-reload,"Safe explicit hot reload protocol","src/plugins/manager.ts;src/plugins/loader.ts",4,yes,"Reload executes drain/unregister/rebind/health-check sequence"
